Nome; Classe; Tipo; Endereço; Dimensão; Valor Inicial; Opções; Descrição;
T_STEP; Local; TON; ; ; 0; publ; Temporizador do sequenciador;
STEP_TESTE; Local; INT; ; ; 0; publ; Passo atual do teste;
RESET_TIMER; Local; BOOL; ; ; FALSE; publ; Reset do temporizador;
COMANDO_D000; Local; INT; ; ; 0; publ; Comando interno D000;
COMANDO_D001; Local; INT; ; ; 0; publ; Comando interno D001;
COMANDO_D002; Local; INT; ; ; 0; publ; Comando interno D002;
COMANDO_D003; Local; INT; ; ; 0; publ; Comando interno D003;
MODO_AUTO; Externa; INT; ; ; 0; publ; Modo automatico habilitado;
MODO_MANUAL; Externa; INT; ; ; 0; publ; Modo manual habilitado;
CMD_MANUAL_D000; Externa; INT; ; ; 0; publ; Comando manual D000;
CMD_MANUAL_D001; Externa; INT; ; ; 0; publ; Comando manual D001;
CMD_MANUAL_D002; Externa; INT; ; ; 0; publ; Comando manual D002;
CMD_MANUAL_D003; Externa; INT; ; ; 0; publ; Comando manual D003;
RETORNO_DI00; Externa; INT; ; ; 0; publ; Retorno DI00;
RETORNO_DI01; Externa; INT; ; ; 0; publ; Retorno DI01;
RETORNO_DI02; Externa; INT; ; ; 0; publ; Retorno DI02;
RETORNO_DI03; Externa; INT; ; ; 0; publ; Retorno DI03;
OK_D000; Externa; INT; ; ; 0; publ; Diagnostico OK D000;
OK_D001; Externa; INT; ; ; 0; publ; Diagnostico OK D001;
OK_D002; Externa; INT; ; ; 0; publ; Diagnostico OK D002;
OK_D003; Externa; INT; ; ; 0; publ; Diagnostico OK D003;
FALHA_D000; Externa; INT; ; ; 0; publ; Falha D000;
FALHA_D001; Externa; INT; ; ; 0; publ; Falha D001;
FALHA_D002; Externa; INT; ; ; 0; publ; Falha D002;
FALHA_D003; Externa; INT; ; ; 0; publ; Falha D003;
ERRO_D000; Externa; INT; ; ; 0; publ; Retorno cruzado D000;
ERRO_D001; Externa; INT; ; ; 0; publ; Retorno cruzado D001;
ERRO_D002; Externa; INT; ; ; 0; publ; Retorno cruzado D002;
ERRO_D003; Externa; INT; ; ; 0; publ; Retorno cruzado D003;
TESTE_OK_GERAL; Externa; INT; ; ; 0; publ; Resultado geral OK;
TESTE_FALHA_GERAL; Externa; INT; ; ; 0; publ; Resultado geral com falha;
TESTE_ERRO_GERAL; Externa; INT; ; ; 0; publ; Resultado geral com erro de retorno cruzado;
